Path *,Title *,Source ID,Description,Author,Language,License ID *,License Description,Copyright Holder,Thumbnail
Professional-Development-Parents/,Professional Development Parents,0,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/Professional-Development-Parents-thumb.png
Professional-Development-Parents/Life-Skills,Life Skills,1,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/Life-Skills-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill,Cyber Crime Parents Life Skill,2,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Activity.pdf,Activity,3,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Activity-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Guidelines.pdf,Guidelines,4,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Guidelines-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Session.zip,Session,5,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents,Deaf Culture Parents,6,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents/Activity.pdf,Activity,7,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Activity-thumb.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents/Session.zip,Session,8,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families,Smart Health Choices For Families,9,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Activity1.pdf,Activity1,10,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Activity2.pdf,Activity2,11,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Session.zip,Session,12,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
Professional-Development-Parents/PSL-Parents,PSL Parents,13,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/PSL-Parents-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime,Cyber Crime,14,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Cyber-Crime.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Activity.pdf,Activity,15,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Activity-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Guidelines.pdf,Guidelines,16,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Guidelines-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Session.zip,Session,17,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together,Lets Learn Sign Language Together,18,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together.png
Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together/Session.zip,Session,19,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families,Smart Health Choices For Families,20,Put folder description here,Deaf Reach,en,,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families/Activity.pdf,Activity,21,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Activity-thumb.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families/Session.zip,Session,22,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Session-thumb.png
